site,generation,rep,N,VFVF,VFVC,VCVC,VFIF,VFIC,VCIC,IFIF,IFIC,ICIC,VF,VC,IC,IF
Tap,3,3,50,0,0,8,0,0,23,0,0,19,0,39,61,0
Tap,4,1,50,0,0,7,0,0,24,0,0,19,0,38,62,0
Tap,4,2,50,0,0,5,0,0,30,0,0,15,0,40,60,0
Tap,4,3,50,0,0,6,0,0,24,0,0,20,0,36,64,0
Tap,5,1,50,0,0,12,0,1,30,0,0,7,1,54,45,0
Tap,5,2,50,0,0,4,0,0,30,0,2,14,0,38,60,2
Tap,5,3,50,0,0,9,0,1,34,0,0,6,1,52,47,0
Tap,6,1,50,0,0,9,0,0,29,0,0,12,0,47,53,0
Tap,6,2,50,0,0,15,0,0,22,0,0,13,0,52,48,0
Tap,6,3,50,0,0,7,0,0,27,0,0,16,0,41,59,0
Tap,7,1,50,0,0,13,0,0,22,0,0,15,0,48,52,0
Tap,7,2,50,0,0,7,0,0,24,0,0,19,0,38,62,0
Tap,7,3,50,0,0,13,0,0,19,0,0,18,0,45,55,0
Tap,8,1,50,0,0,13,0,0,15,0,0,22,0,41,59,0
Tap,8,2,50,0,1,9,0,0,23,0,0,17,1,42,57,0
Tap,8,3,50,0,0,8,0,0,24,0,0,18,0,40,60,0
Mer1,1,1,50,0,0,8,1,10,14,0,0,17,11,30,58,1
Mer1,1,2,50,0,0,6,0,6,24,0,0,14,6,36,58,0
Mer1,1,3,18,0,0,2,0,3,6,0,0,7,3,10,23,0
Mer1,2,1,50,0,7,13,0,1,16,0,0,13,8,49,43,0
Mer1,2,2,50,0,6,9,0,6,20,0,0,9,12,44,44,0
Mer1,2,3,50,0,3,12,0,4,18,0,0,13,7,45,48,0
Mer1,3,1,50,0,13,6,0,9,6,0,1,15,22,31,46,1
Mer1,3,2,50,1,0,16,0,1,22,1,0,9,3,54,41,2
Mer1,3,3,50,0,2,14,0,3,20,0,0,11,5,50,45,0
Mer1,4,1,50,0,5,21,0,1,17,0,0,6,6,64,30,0
Mer1,4,2,50,0,5,12,0,1,18,0,0,14,6,47,47,0
Mer1,4,3,50,0,5,14,0,1,23,0,0,7,6,56,38,0
Mer1,5,1,50,0,0,13,0,0,29,0,0,8,0,55,45,0
Mer1,5,2,50,0,0,16,0,0,25,0,0,9,0,57,43,0
Mer1,5,3,50,0,0,10,0,3,25,0,0,12,3,45,52,0
Mer1,6,1,50,0,1,10,0,0,29,0,0,10,1,50,49,0
Mer1,6,2,50,0,1,14,0,2,22,0,1,10,3,51,45,1
Mer1,6,3,50,0,1,14,0,1,16,0,0,18,2,45,53,0
Mer1,7,1,50,1,1,10,0,2,28,0,0,8,5,49,46,0
Mer1,7,2,50,3,0,19,0,0,24,0,0,4,6,62,32,0
Mer1,7,3,50,0,1,18,0,0,21,0,0,10,1,58,41,0
Mer1,8,1,50,1,3,27,0,1,14,0,0,4,6,71,23,0
Mer1,8,2,50,0,2,13,0,0,25,0,0,10,2,53,45,0
Mer1,8,3,50,0,3,15,0,0,29,0,0,3,3,62,35,0
Mer2,1,1,50,2,4,7,1,6,13,0,0,17,15,31,53,1
Mer2,1,2,50,2,2,7,0,9,11,0,0,19,15,27,58,0
Mer2,1,3,50,1,3,3,0,4,18,0,0,21,9,27,64,0
Mer2,2,1,50,2,11,7,0,4,10,0,0,16,19,35,46,0
Mer2,2,2,50,2,8,4,0,8,19,0,0,9,20,35,45,0
Mer2,2,3,50,4,9,6,4,5,18,0,0,4,26,39,31,4
Mer2,3,1,50,1,10,7,1,8,12,0,0,11,21,36,42,1
Mer2,3,2,50,1,12,4,0,18,12,0,0,3,32,32,36,0
Mer2,3,3,50,4,7,8,0,12,8,0,0,11,27,31,42,0
Mer2,4,1,50,2,9,6,0,8,20,0,0,5,21,41,38,0
Mer2,4,2,50,2,12,8,0,6,10,0,1,11,22,38,39,1
Mer2,4,3,50,1,9,14,0,6,13,0,4,3,17,50,29,4
Mer2,5,1,50,8,11,0,0,15,9,0,0,7,42,20,38,0
Mer2,5,2,50,11,10,0,0,12,9,0,0,8,44,19,37,0
Mer2,5,3,50,15,3,1,1,19,8,0,0,3,53,13,33,1
Mer2,6,1,50,22,9,0,1,12,4,0,0,2,66,13,20,1
Mer2,6,2,50,13,8,0,0,14,7,0,0,8,48,15,37,0
Mer2,6,3,50,12,12,2,0,15,3,1,0,5,51,19,28,2
Mer2,7,1,50,12,9,0,0,22,5,0,0,2,55,14,31,0
Mer2,7,2,50,14,6,5,0,17,5,0,0,3,51,21,28,0
Mer2,7,3,50,7,12,2,0,18,5,0,0,6,44,21,35,0
Mer2,8,1,50,11,15,2,0,11,8,0,0,3,48,27,25,0
Mer2,8,2,50,14,4,0,0,19,8,0,0,5,51,12,37,0
Mer2,8,3,44,9,6,2,1,16,8,0,0,2,41,18,28,1
Mer3,1,1,50,0,0,7,0,0,23,0,0,20,0,37,63,0
Mer3,1,2,50,0,0,2,0,0,15,0,0,33,0,19,81,0
Mer3,1,3,50,0,0,1,0,0,23,0,0,26,0,25,75,0
Mer3,2,1,50,0,0,2,0,0,15,0,0,33,0,19,81,0
Mer3,2,2,50,1,0,5,0,0,16,0,0,28,2,26,72,0
